PPT,Condition,Correct,RT
1,1,1,0.647012176
1,2,1,0.458860299
1,2,1,0.482395418
1,0,1,0.423569558
1,2,1,0.47062754
1,2,1,0.458841343
1,2,1,0.400059876
1,0,1,0.353009814
1,0,1,0.353003094
1,0,1,0.505904987
1,0,1,0.447112637
1,0,1,0.400027176
1,0,1,0.458858308
1,2,1,0.458846184
1,2,1,0.388302115
1,2,1,0.470615345
1,1,1,0.611748007
1,2,1,0.435272277
1,2,1,0.623515997
1,2,1,0.529438891
1,1,1,0.435327247
1,1,1,0.423552664
1,1,1,0.364761117
1,1,1,0.376577208
1,1,1,0.352945948
1,1,0,0.376535932
1,0,1,0.846996603
1,2,1,0.623506709
1,0,1,0.752913245
1,0,1,0.458837725
1,1,1,0.505910875
1,1,1,0.435351176
1,2,1,0.529433247
1,0,1,0.41182247
1,0,1,0.470614002
1,1,1,0.494142217
1,1,1,0.517648326
1,2,1,0.494147774
1,1,1,0.470602887
1,2,1,0.423590696
1,1,1,0.470607316
1,1,1,0.411809289
1,2,1,0.600005647
1,1,1,0.470614542
1,1,1,0.412132512
1,1,1,0.458856774
1,0,1,0.599996561
1,1,1,0.435344677
1,0,1,0.352988953
1,2,1,0.44709307
1,0,1,0.423570938
1,0,1,0.411673638
1,2,1,0.517680976
1,2,1,0.623520358
1,0,1,0.411804234
1,2,1,0.505915892
1,2,1,0.458846001
1,1,1,0.388302257
1,2,1,0.670568407
1,0,1,0.529423306
1,1,1,0.658822192
1,0,1,0.623499921
1,0,1,0.423589493
1,0,1,0.529440889
1,1,1,0.541206427
1,0,1,0.552959414
1,2,1,0.647051153
1,2,1,0.541193535
1,0,1,0.411804586
1,0,1,0.470636626
1,1,1,0.376535253
1,1,1,0.470633003
1,0,1,0.458838973
1,1,1,0.376544561
1,1,1,0.353004819
1,2,1,0.458854971
1,1,1,0.37650603
1,0,1,0.470601151
1,1,1,0.400035797
1,2,1,0.482382735
1,1,1,0.482383515
1,0,1,0.400063835
1,0,1,0.423555049
1,1,1,0.341246199
1,0,1,0.423570597
1,0,1,0.423572325
1,2,1,0.341241748
1,2,1,0.788183496
1,1,1,0.400053711
1,0,1,0.447105539
1,1,1,0.458858308
1,1,1,0.376526291
1,0,1,0.435295331
1,0,1,0.400051603
1,1,1,0.447110117
1,0,1,0.41180831
1,2,0,0.41182394
1,1,1,0.788186748
1,2,1,0.564703952
1,2,1,0.5646889
1,2,1,0.552927378
1,1,1,0.588228162
1,1,1,0.411810114
1,0,1,0.458876338
1,2,1,0.411809577
1,1,1,0.364779038
1,0,1,0.329499539
1,0,1,0.341252451
1,0,1,0.411810294
1,0,1,0.364767252
1,2,1,0.458848022
1,1,1,0.376510365
1,1,1,0.41180249
1,2,0,0.435352184
1,2,1,0.576484269
1,0,1,0.482402239
1,0,1,0.458874459
1,0,1,0.435305497
1,1,1,0.43531914
