PPT,Condition,Correct,RT
1,2,1,0.50576663
1,0,1,2.622814417
1,2,1,0.564563096
1,2,1,0.400056422
1,0,1,0.4118101
1,0,1,0.505886495
1,1,1,0.52941364
1,1,1,0.470597416
1,0,1,0.435333014
1,1,1,0.552922547
1,2,1,0.517689526
1,2,1,0.458885491
1,2,1,0.411679745
1,1,1,0.447091222
1,2,1,0.411668926
1,2,1,0.294072002
1,2,1,0.364751488
1,2,1,0.376408935
1,0,1,0.600014925
1,1,1,0.352962166
1,2,1,0.399928451
1,2,0,0.282311976
1,0,1,0.423597485
1,0,1,0.317737132
1,1,1,0.4588269
1,2,1,0.435352534
1,1,1,0.317675292
1,0,1,0.505882025
1,0,1,0.541197002
1,0,1,0.329471976
1,1,1,0.670559168
1,0,1,0.741149545
1,0,1,0.999907613
1,0,1,0.341236353
1,1,1,0.423537582
1,2,1,0.541201711
1,0,1,0.388312519
1,0,1,0.329493344
1,1,1,0.458836496
1,1,1,0.282412767
1,2,1,0.553014636
1,1,1,0.364733189
1,2,1,0.564580917
1,0,1,0.541071475
1,1,1,0.48233825
1,0,1,0.494173408
1,2,1,0.470640123
1,2,1,0.305970281
1,2,1,0.329491138
1,2,1,0.282400042
1,1,1,0.494136781
1,1,1,0.329463392
1,1,1,0.470583528
1,2,1,1.011641145
1,0,1,0.599843502
1,0,1,0.529449046
1,0,1,0.49400267
1,0,1,0.435345203
1,1,1,0.458835989
1,1,1,0.494128793
1,1,1,0.599939644
1,0,1,0.470617712
1,1,1,0.458785057
1,2,1,0.5764606
1,2,1,0.388312578
1,2,1,0.38814202
1,1,1,0.341209769
1,1,1,0.435314596
1,2,0,0.400063246
1,1,1,0.541185081
1,2,1,0.635285378
1,0,1,0.446977586
1,2,1,0.905819833
1,1,1,0.423562497
1,2,1,0.353018939
1,1,1,0.50589931
1,0,1,0.29404062
1,1,1,0.458833367
1,2,1,0.423589647
1,1,1,0.423521817
1,0,1,0.329573333
1,0,1,0.294061035
1,0,1,0.258755416
1,1,1,0.329450011
1,2,1,0.494162291
1,1,1,0.576454699
1,2,1,0.388294935
1,2,0,0.282440692
1,0,1,0.588102162
1,0,1,0.341255277
1,2,1,0.37652427
1,1,1,0.364764571
1,1,1,0.294146538
1,2,1,0.399922252
1,1,1,0.552930474
1,0,0,0.552835882
1,2,1,0.399902821
1,2,1,0.470626175
1,2,1,0.63516438
1,2,1,0.635307431
1,0,0,0.282455504
1,2,1,0.576356411
1,1,1,0.952814937
1,0,1,0.388159662
1,1,1,0.588229835
1,0,1,0.341110438
1,1,1,0.411791116
1,2,1,0.447116375
1,1,1,0.505864203
1,0,1,0.835237324
1,1,1,0.635273814
1,2,1,0.364657938
1,0,1,0.329510897
1,0,1,0.305971056
1,2,1,0.505777895
1,0,0,0.364787489
1,0,1,0.388323694
1,1,1,0.376523465
1,1,1,0.599990308
1,1,1,0.42354092
1,0,1,0.576491892
1,2,1,0.576368868
1,2,1,0.517674744
1,1,1,0.435326636
1,1,1,0.364738673
1,2,1,0.47049287
1,2,1,0.717480659
1,1,1,0.552915633
1,0,1,0.788034022
1,1,1,0.411792457
1,1,1,0.482368916
1,0,1,0.32949701
1,1,1,0.282399982
1,2,1,0.399924338
1,2,1,0.400069535
1,0,1,0.37639758
1,0,1,0.447093785
1,0,1,0.352874756
1,0,1,0.517708898
1,0,1,0.353020102
1,0,1,0.30596596
1,1,1,0.411810368
1,0,1,0.329515219
1,1,0,0.317685992
1,0,1,0.611639798
1,2,0,0.329337597
1,0,1,0.611637712
1,2,1,0.658671498
1,1,1,0.388267726
1,1,1,0.364746332
1,1,1,0.376521885
1,2,1,0.423598766
1,0,1,0.505777955
1,1,1,0.352978736
1,0,1,0.329496562
1,0,1,0.494163156
1,1,1,0.364755273
1,0,1,0.317731112
1,0,1,0.305974066
1,2,0,0.294217855
1,0,1,0.329486936
1,1,1,0.435320318
1,0,1,0.329442829
1,0,1,0.400057107
1,2,1,0.49411723
1,1,1,0.376503617
1,2,1,0.435332924
1,0,1,0.294071168
1,1,1,0.317702293
1,2,1,0.482243925
1,1,1,0.388266325
1,1,1,0.388264716
1,2,1,0.447104305
1,0,1,0.282311589
1,1,1,0.41179949
1,1,0,0.353001028
1,0,1,0.435357869
1,2,1,0.552962363
1,2,1,0.317597479
1,0,1,0.305992484
1,1,1,0.447074115
1,1,1,0.282404453
1,2,0,0.38817966
1,1,1,0.505877078
1,1,1,0.376488179
1,2,1,0.411844999
1,2,1,0.38829571
1,2,1,0.458745867
1,1,1,0.564696789
1,0,1,0.564714491
1,2,1,0.564692855
1,2,1,0.294177204
1,1,1,0.741110921
1,0,1,0.482397228
1,0,1,0.36479792
1,2,1,0.494139403
1,1,1,0.576428115
1,0,1,0.42356813
1,2,1,0.505908728
1,1,1,0.435298622
1,2,1,0.341256052
1,2,1,0.423594773
1,0,1,0.411685824
1,0,1,0.35303995
1,0,1,0.30582723
1,1,1,0.411780477
1,0,1,0.341255665
1,2,1,0.294219643
1,0,1,0.411792696
1,1,1,0.494119644
1,1,1,0.470602274
1,2,1,0.564728975
1,2,1,0.341113538
1,1,1,0.400017023
1,0,1,0.364753842
1,2,1,0.505928099
1,0,1,0.38830632
1,2,1,0.576489091
1,0,1,0.447084516
1,1,1,0.388270855
1,1,1,0.388272017
1,1,1,0.43531546
1,1,1,0.458836913
1,2,1,0.529432952
1,0,1,0.399940342
1,2,1,0.458731264
1,1,1,0.458834946
1,0,1,0.341252178
1,2,1,0.364628345
1,0,1,0.305963427
1,0,1,0.34122178
1,0,1,0.59995681
1,0,1,0.882292569
1,1,1,0.376509726
1,1,1,0.505873024
1,1,1,0.364763141
1,0,0,0.353065997
1,1,1,0.447054774
1,2,1,0.635266364
1,0,1,0.30583936
1,0,1,0.458880097
1,2,0,0.376536936
1,2,1,0.482397646
1,2,1,0.317591369
1,2,1,0.529451609
1,1,1,0.44690156
1,1,1,0.270654172
1,2,1,0.400077641
1,2,1,0.341272384
1,0,1,0.447081864
1,1,1,0.64703542
1,1,1,0.352987528
1,1,1,0.352982849
1,1,1,0.341225594
1,2,0,0.353028685
1,0,1,0.36462602
1,2,0,0.329515278
1,2,1,0.505915165
1,1,1,0.447091043
1,1,1,0.517491817
1,1,1,0.552930176
