PPT,Condition,Correct,RT
101,1,1,0.51855
101,2,0,0.27133
101,0,1,0.36555
101,0,1,0.29504
101,2,1,0.31843
101,1,1,0.29454
101,0,1,0.34182
101,0,1,0.27136
101,2,0,0.34201
101,1,1,0.40102
101,2,1,0.40102
101,0,1,0.33016
101,1,1,0.40078
101,2,1,0.51847
101,2,0,0.53004
101,1,1,0.38877
101,0,1,0.31862
101,2,1,0.38898
101,1,1,0.35378
101,2,0,0.40085
101,0,1,0.3303
101,2,0,0.30676
101,0,1,0.3304
101,2,1,0.34196
101,0,0,0.34201
101,1,1,0.35382
101,2,1,0.49497
101,2,1,0.40088
101,1,1,0.37724
101,2,1,0.4708
101,1,1,0.37741
101,0,0,0.3774
101,2,1,0.47105
101,1,1,0.3303
101,0,1,0.28308
101,1,1,0.43595
101,2,1,0.48334
101,0,1,0.34182
101,0,1,0.3419
101,0,0,0.30691
101,2,1,0.36552
101,1,1,0.29484
101,0,1,0.53024
101,2,1,0.48307
101,0,1,0.42434
101,0,1,0.33028
101,2,0,0.27116
101,1,1,0.3655
101,2,1,0.49436
101,2,1,0.35353
101,1,1,0.23627
101,0,1,0.30682
101,2,0,0.35397
101,0,0,0.44777
101,2,1,0.60075
101,2,1,0.36554
101,1,1,0.56553
101,1,1,0.40065
101,2,1,0.38905
101,0,0,0.36554
101,1,1,0.44801
101,0,1,0.36557
101,2,1,0.29491
101,2,1,0.30686
101,0,0,0.24792
101,0,1,0.54194
101,1,1,0.31837
101,2,1,0.43617
101,1,1,0.3774
101,2,1,0.40086
101,0,1,0.29495
101,1,1,0.27134
101,0,0,0.30673
101,0,1,0.37731
101,0,1,0.33027
101,1,1,0.37727
101,2,0,0.34199
101,1,1,0.36538
101,1,1,0.31846
101,2,1,0.25958
101,1,1,0.34138
101,1,1,0.27121
101,1,1,0.27139
101,2,0,0.33039
101,2,1,0.35381
101,1,1,0.33044
101,0,1,0.36544
101,1,1,0.34206
101,1,1,0.31842
101,0,1,0.3303
101,2,1,0.47099
101,0,0,0.38829
101,1,1,0.3538
101,1,1,0.47127
101,0,1,0.35382
101,1,1,0.27134
101,0,0,0.23622
101,2,0,0.30744
101,2,1,0.49493
101,2,1,0.37729
101,2,1,0.37716
101,1,1,0.4124
101,2,1,0.44791
101,2,1,0.4244
101,0,1,0.34198
101,1,1,0.34217
101,0,0,0.42435
101,2,1,0.44792
101,1,1,0.38905
101,0,1,0.41265
101,1,1,0.38885
101,1,1,0.36535
101,0,1,0.38886
101,1,1,0.37734
101,1,1,0.25964
101,2,1,0.30673
101,2,1,0.61258
101,1,1,0.38889
101,1,1,0.25948
101,1,1,0.50677
101,0,1,0.53015
101,0,1,0.40084
101,0,1,0.49479
101,1,1,0.44786
101,0,1,0.37718
101,0,1,0.41256
101,1,0,0.29504
101,1,1,0.3891
101,0,1,0.38912
101,0,1,0.40084
101,2,1,0.49482
101,1,1,0.41256
101,0,1,0.37729
101,0,1,0.3772
101,0,1,0.3656
101,2,0,0.34166
101,2,1,0.38846
101,0,1,0.62419
101,2,1,0.44803
101,1,1,0.36558
101,0,1,0.24786
101,1,0,0.35388
101,2,1,0.61236
101,2,0,0.41223
101,1,1,0.6361
101,2,1,0.34185
101,1,1,0.3178
101,0,1,0.38899
101,1,1,0.33028
101,0,1,0.31834
101,1,1,0.38901
101,1,1,0.34197
101,0,1,0.38903
101,0,1,0.33012
101,1,1,0.31843
101,0,0,0.30699
101,2,1,0.55349
101,2,1,0.50672
101,0,1,0.40081
101,1,1,0.38904
101,2,1,0.37671
101,2,1,0.40084
101,0,1,0.40082
101,1,1,0.45972
101,0,1,0.35366
101,0,1,0.42439
101,2,1,0.63584
101,0,1,0.57729
101,1,1,0.40086
101,1,1,0.49429
101,1,1,0.41196
101,0,0,0.31846
101,1,1,0.37733
101,1,1,0.38885
101,0,0,0.25968
101,0,1,0.43606
101,1,0,0.51843
101,0,1,0.5418
101,0,1,0.44793
101,2,0,0.4596
101,0,1,0.75385
101,2,0,0.45954
101,1,1,0.47144
101,2,1,0.53007
101,2,1,0.49467
101,1,1,0.50664
101,0,1,0.45975
101,1,1,0.44799
101,2,1,0.4238
101,0,1,0.46036
101,2,1,0.48316
101,2,1,0.54202
101,2,1,0.57711
101,2,1,0.37721
101,0,1,0.51851
101,0,1,0.65949
101,0,1,0.65934
101,1,1,0.5301
101,1,1,0.40085
101,2,1,0.49485
101,0,0,0.54203
101,0,1,0.40067
101,2,0,0.44798
101,1,1,0.83533
101,2,1,0.49493
101,2,1,0.47153
101,2,1,0.49497
101,1,1,0.43604
101,0,1,0.64718
101,1,1,0.90664
101,0,1,0.33018
101,2,1,0.52933
101,0,1,0.45954
101,1,0,0.50682
101,0,1,0.43609
101,0,1,0.43604
101,1,0,0.47115
101,0,1,0.41256
101,0,0,0.49495
101,2,1,0.48295
101,2,0,0.47129
101,1,1,0.48315
101,1,1,0.54198
101,1,1,0.43605
101,1,1,0.83613
101,2,0,0.40087
101,1,1,0.54186
101,0,1,0.92975
101,2,1,0.49495
101,1,0,0.41262
101,1,1,0.6361
101,0,1,0.43541
101,1,1,0.75389
101,0,1,0.51841
101,2,0,0.37723
101,0,1,0.3774
101,1,1,0.51841
101,0,1,0.43608
101,0,1,0.38895
101,1,1,0.55367
101,2,0,0.37736
101,2,1,0.64781
101,2,1,0.70648
101,0,1,0.61259
101,0,0,0.40097
101,2,1,0.54182
101,0,1,0.63611
101,2,1,0.42382
101,0,1,0.50638
101,0,0,0.7895
101,2,0,0.41231
101,1,1,0.5888
101,1,1,0.49499
101,1,1,0.7302
101,1,1,0.63618
101,1,0,0.45952
101,1,1,0.36549
101,2,1,0.47116
101,0,1,0.58894
101,1,1,0.56552
101,2,0,1.7534
101,0,1,0.68316
101,2,1,0.53023
101,1,1,0.41243
101,2,1,0.49492
101,1,1,0.37753
101,0,1,0.38904
101,2,1,0.50655
101,1,1,0.74185
101,2,1,0.69476
101,2,1,0.48332
101,2,0,0.34182
101,1,1,0.54202
101,1,1,0.49424
101,0,1,0.44782
101,2,0,0.42426
101,2,1,0.40086
101,0,1,0.43622
101,0,1,0.69478
101,2,0,0.89473
101,1,1,0.48306
101,2,1,0.51862
101,0,1,0.43617
101,2,1,0.63601
101,2,1,0.54203
101,2,1,0.53023
101,1,1,0.73028
101,2,1,0.63585
101,2,1,0.65979
101,2,1,0.41256
101,2,1,0.28326
101,2,1,0.24791
101,1,0,0.24791
101,1,1,0.25973
101,0,0,0.24721
101,0,0,0.24783
101,2,0,0.37733
101,1,1,0.38832
101,1,1,0.38901
101,1,1,0.27131
101,1,1,0.34199
101,1,1,0.38908
101,1,0,0.28326
101,1,1,0.35375
101,0,0,0.31845
101,2,1,0.42441
101,2,1,0.31849
101,2,1,0.30675
101,1,1,0.33037
101,0,1,0.31848
101,1,1,0.3066
101,0,1,0.37737
101,2,1,0.38913
101,0,1,0.4003
101,0,1,0.35405
101,1,1,0.34183
101,0,1,0.31779
101,1,1,0.33018
101,2,0,0.34201
101,2,1,0.60085
101,0,1,0.44787
101,2,1,0.37735
101,1,1,0.36543
101,2,0,0.37718
101,0,1,0.29508
101,0,1,0.33035
101,0,1,0.40096
101,2,1,0.40087
101,0,1,0.34198
101,2,1,0.61244
101,2,0,0.27133
101,0,1,0.3419
101,1,0,0.35382
101,1,1,0.47156
101,0,1,0.45891
101,1,1,0.37737
101,0,1,0.55233
101,0,1,0.36532
101,1,1,0.45951
101,1,1,0.60075
101,1,1,0.40028
101,1,0,0.28325
101,2,1,0.47143
101,2,1,0.36551
101,2,0,0.67133
101,2,1,0.38889
101,1,1,0.34196
101,1,1,0.43616
101,1,0,0.44778
101,0,1,0.38891
101,2,1,0.61244
101,0,1,0.45961
101,1,1,0.36551
101,1,1,0.54181
101,2,1,1.3181
101,1,1,0.3892
101,1,1,0.30665
101,2,1,0.37732
101,0,1,0.29496
101,2,0,0.3067
101,1,1,0.44776
101,1,0,0.30665
101,2,1,0.51848
101,0,0,0.42471
101,0,1,0.3303
101,1,1,0.36535
101,2,0,0.43607
101,0,1,0.34206
101,0,1,0.37725
101,0,0,0.44803
101,0,1,0.35384
101,1,1,0.49513
101,1,1,0.91812
101,1,1,0.31786
101,2,0,0.37731
101,1,1,0.542
101,2,1,0.55376
101,0,1,0.48294
101,1,1,0.73025
101,0,1,0.38885
101,1,1,0.38911
101,2,1,0.54198
101,1,0,0.61242
101,1,1,0.4124
101,2,1,0.3889
101,1,1,0.75351
101,1,1,0.37743
101,1,0,0.47147
101,0,1,0.37708
101,0,1,0.67119
101,2,0,0.37732
101,1,0,1.1654
101,1,1,0.54199
101,1,1,0.33028
101,2,0,0.29479
101,2,1,0.36552
101,0,1,0.4714
