index,PPT,Condition,Correct,RT
1,1,2,0,0.27133
2,1,1,1,0.36555
3,1,1,1,0.29504
4,1,2,1,0.31843
6,1,1,1,0.34182
7,1,1,1,0.27136
8,1,2,0,0.34201
10,1,2,1,0.40102
11,1,1,1,0.33016
13,1,2,1,0.51847
14,1,2,0,0.53004
16,1,1,1,0.31862
17,1,2,1,0.38898
19,1,2,0,0.40085
20,1,1,1,0.3303
21,1,2,0,0.30676
22,1,1,1,0.3304
23,1,2,1,0.34196
24,1,1,0,0.34201
26,1,2,1,0.49497
27,1,2,1,0.40088
29,1,2,1,0.4708
31,1,1,0,0.3774
32,1,2,1,0.47105
34,1,1,1,0.28308
36,1,2,1,0.48334
37,1,1,1,0.34182
38,1,1,1,0.3419
39,1,1,0,0.30691
40,1,2,1,0.36552
42,1,1,1,0.53024
43,1,2,1,0.48307
44,1,1,1,0.42434
45,1,1,1,0.33028
46,1,2,0,0.27116
48,1,2,1,0.49436
49,1,2,1,0.35353
51,1,1,1,0.30682
52,1,2,0,0.35397
53,1,1,0,0.44777
54,1,2,1,0.60075
55,1,2,1,0.36554
58,1,2,1,0.38905
59,1,1,0,0.36554
61,1,1,1,0.36557
62,1,2,1,0.29491
63,1,2,1,0.30686
64,1,1,0,0.24792
65,1,1,1,0.54194
67,1,2,1,0.43617
69,1,2,1,0.40086
70,1,1,1,0.29495
72,1,1,0,0.30673
73,1,1,1,0.37731
74,1,1,1,0.33027
76,1,2,0,0.34199
79,1,2,1,0.25958
83,1,2,0,0.33039
84,1,2,1,0.35381
86,1,1,1,0.36544
89,1,1,1,0.3303
90,1,2,1,0.47099
91,1,1,0,0.38829
94,1,1,1,0.35382
96,1,1,0,0.23622
97,1,2,0,0.30744
98,1,2,1,0.49493
99,1,2,1,0.37729
100,1,2,1,0.37716
102,1,2,1,0.44791
103,1,2,1,0.4244
104,1,1,1,0.34198
106,1,1,0,0.42435
107,1,2,1,0.44792
109,1,1,1,0.41265
112,1,1,1,0.38886
115,1,2,1,0.30673
116,1,2,1,0.61258
120,1,1,1,0.53015
121,1,1,1,0.40084
122,1,1,1,0.49479
124,1,1,1,0.37718
125,1,1,1,0.41256
128,1,1,1,0.38912
129,1,1,1,0.40084
130,1,2,1,0.49482
132,1,1,1,0.37729
133,1,1,1,0.3772
134,1,1,1,0.3656
135,1,2,0,0.34166
136,1,2,1,0.38846
137,1,1,1,0.62419
138,1,2,1,0.44803
140,1,1,1,0.24786
142,1,2,1,0.61236
143,1,2,0,0.41223
145,1,2,1,0.34185
147,1,1,1,0.38899
149,1,1,1,0.31834
152,1,1,1,0.38903
153,1,1,1,0.33012
155,1,1,0,0.30699
156,1,2,1,0.55349
157,1,2,1,0.50672
158,1,1,1,0.40081
160,1,2,1,0.37671
161,1,2,1,0.40084
162,1,1,1,0.40082
164,1,1,1,0.35366
165,1,1,1,0.42439
166,1,2,1,0.63584
167,1,1,1,0.57729
171,1,1,0,0.31846
174,1,1,0,0.25968
175,1,1,1,0.43606
177,1,1,1,0.5418
178,1,1,1,0.44793
179,1,2,0,0.4596
180,1,1,1,0.75385
181,1,2,0,0.45954
183,1,2,1,0.53007
184,1,2,1,0.49467
186,1,1,1,0.45975
188,1,2,1,0.4238
189,1,1,1,0.46036
190,1,2,1,0.48316
191,1,2,1,0.54202
192,1,2,1,0.57711
193,1,2,1,0.37721
194,1,1,1,0.51851
195,1,1,1,0.65949
196,1,1,1,0.65934
199,1,2,1,0.49485
200,1,1,0,0.54203
201,1,1,1,0.40067
202,1,2,0,0.44798
204,1,2,1,0.49493
205,1,2,1,0.47153
206,1,2,1,0.49497
208,1,1,1,0.64718
210,1,1,1,0.33018
211,1,2,1,0.52933
212,1,1,1,0.45954
214,1,1,1,0.43609
215,1,1,1,0.43604
217,1,1,1,0.41256
218,1,1,0,0.49495
219,1,2,1,0.48295
220,1,2,0,0.47129
225,1,2,0,0.40087
227,1,1,1,0.92975
228,1,2,1,0.49495
231,1,1,1,0.43541
233,1,1,1,0.51841
234,1,2,0,0.37723
235,1,1,1,0.3774
237,1,1,1,0.43608
238,1,1,1,0.38895
240,1,2,0,0.37736
241,1,2,1,0.64781
242,1,2,1,0.70648
243,1,1,1,0.61259
244,1,1,0,0.40097
245,1,2,1,0.54182
246,1,1,1,0.63611
247,1,2,1,0.42382
248,1,1,1,0.50638
249,1,1,0,0.7895
250,1,2,0,0.41231
257,1,2,1,0.47116
258,1,1,1,0.58894
260,1,2,0,1.7534
261,1,1,1,0.68316
262,1,2,1,0.53023
264,1,2,1,0.49492
266,1,1,1,0.38904
267,1,2,1,0.50655
269,1,2,1,0.69476
270,1,2,1,0.48332
271,1,2,0,0.34182
274,1,1,1,0.44782
275,1,2,0,0.42426
276,1,2,1,0.40086
277,1,1,1,0.43622
278,1,1,1,0.69478
279,1,2,0,0.89473
281,1,2,1,0.51862
282,1,1,1,0.43617
283,1,2,1,0.63601
284,1,2,1,0.54203
285,1,2,1,0.53023
287,1,2,1,0.63585
288,1,2,1,0.65979
289,1,2,1,0.41256
290,1,2,1,0.28326
291,1,2,1,0.24791
294,1,1,0,0.24721
295,1,1,0,0.24783
296,1,2,0,0.37733
304,1,1,0,0.31845
305,1,2,1,0.42441
306,1,2,1,0.31849
307,1,2,1,0.30675
309,1,1,1,0.31848
311,1,1,1,0.37737
312,1,2,1,0.38913
313,1,1,1,0.4003
314,1,1,1,0.35405
316,1,1,1,0.31779
318,1,2,0,0.34201
319,1,2,1,0.60085
320,1,1,1,0.44787
321,1,2,1,0.37735
323,1,2,0,0.37718
324,1,1,1,0.29508
325,1,1,1,0.33035
326,1,1,1,0.40096
327,1,2,1,0.40087
328,1,1,1,0.34198
329,1,2,1,0.61244
330,1,2,0,0.27133
331,1,1,1,0.3419
334,1,1,1,0.45891
336,1,1,1,0.55233
337,1,1,1,0.36532
342,1,2,1,0.47143
343,1,2,1,0.36551
344,1,2,0,0.67133
345,1,2,1,0.38889
349,1,1,1,0.38891
350,1,2,1,0.61244
351,1,1,1,0.45961
354,1,2,1,1.3181
357,1,2,1,0.37732
358,1,1,1,0.29496
359,1,2,0,0.3067
362,1,2,1,0.51848
363,1,1,0,0.42471
