PPT,Condition,Correct,RT
1,2,1,0.622055
1,1,1,0.424841
1,2,1,0.434666
1,2,1,0.412711
1,1,1,0.368136
1,1,1,0.300905
1,2,1,0.379109
1,1,1,0.348568
1,1,1,0.388466
1,1,1,0.288619
1,2,1,0.40803
1,2,1,0.398219
1,1,1,0.369687
1,1,1,0.262426
1,2,1,0.415154
1,2,1,0.465453
1,1,1,0.379331
1,2,1,0.476486
1,2,1,0.341325
1,1,1,0.387387
1,1,1,0.351386
1,1,1,0.340892
1,2,1,0.402894
1,1,1,0.316395
1,2,1,0.418796
1,1,1,0.317645
1,1,1,0.393834
1,2,1,0.42983
1,2,1,0.416033
1,1,1,0.378721
1,2,1,0.356032
1,2,1,0.352769
1,2,1,0.311782
1,2,1,0.311161
1,2,1,0.333883
1,2,1,0.275943
1,2,1,0.330976
1,1,0,0.263434
1,1,1,0.360806
1,2,1,0.390204
1,1,1,0.288958
1,1,1,0.264123
1,2,1,0.342144
1,1,1,0.321735
1,2,1,0.354611
1,1,1,0.380423
1,2,1,0.480538
1,2,1,0.420081
1,1,1,0.342913
1,1,1,0.322432
1,1,1,0.393113
1,2,1,0.437283
1,2,1,0.358476
1,1,1,0.403845
1,1,1,0.319303
1,2,0,0.309989
1,1,1,0.317333
1,2,1,0.411433
1,2,1,0.334159
1,1,1,0.36436
1,1,1,0.384117
1,2,1,0.395602
1,1,1,0.239595
1,1,1,0.305676
1,1,1,0.490161
1,1,1,0.31435
1,1,1,0.345771
1,2,1,0.311781
1,1,1,0.387203
1,1,1,0.375333
1,1,1,0.340101
1,1,1,0.335584
1,2,1,0.391769
1,1,1,0.395882
1,1,1,0.39996
1,1,1,0.322364
1,2,1,0.464399
1,1,1,0.349407
1,1,1,0.347462
1,2,1,0.344876
1,1,1,0.294875
1,2,1,0.414336
1,2,1,0.369763
1,2,1,0.429457
1,2,1,0.419849
1,2,1,0.38007
1,2,1,0.416745
1,2,1,0.364231
1,2,1,0.43257
1,1,1,0.339379
1,1,1,0.360885
1,2,1,0.390211
1,2,1,0.423775
1,1,1,0.385924
1,1,1,0.34009
1,2,1,0.480517
1,2,1,0.417274
1,1,1,0.359441
1,1,1,0.310938
1,2,1,0.371826
1,1,1,0.357346
1,2,0,0.401117
1,2,1,0.363827
1,1,1,0.360576
1,2,1,0.421984
1,2,1,0.43281
1,1,1,0.346847
1,2,1,0.371115
1,1,1,0.415924
1,2,1,0.363179
1,1,1,0.368539
1,2,1,0.440818
1,1,1,0.39483
1,1,1,0.398365
1,1,1,0.428812
1,2,1,0.371963
1,1,1,0.392793
1,2,1,0.372937
1,2,1,0.465605
1,2,1,0.363142
1,2,1,0.616543
1,2,1,0.372184
1,2,1,0.432037
1,2,1,0.378823
1,1,1,0.407469
1,2,1,0.370248
1,2,1,0.476471
1,1,1,0.420526
1,1,1,0.375383
1,2,1,0.422558
1,2,1,0.52941
1,2,1,0.411549
1,1,1,0.398966
1,1,1,0.332557
1,1,1,0.344085
1,1,1,0.35017
1,1,1,0.412249
1,1,1,0.399648
1,2,0,0.387086
1,1,1,0.364982
1,2,1,0.44177
1,1,1,0.363872
1,1,1,0.37652
1,1,1,0.368821
1,1,1,0.405527
1,2,1,0.408372
1,1,1,0.42019
1,1,1,0.358913
1,2,1,0.475718
1,1,1,0.351972
1,1,1,0.381348
1,2,1,0.398303
1,1,1,0.353426
1,2,1,0.377513
1,1,1,0.330471
1,2,1,0.425245
1,2,1,0.451342
1,2,1,0.332849
1,1,0,0.273933
1,2,1,0.426657
1,2,1,0.324932
1,1,1,0.307647
1,1,1,0.386431
1,1,1,0.318354
1,1,1,0.314761
1,1,1,0.349663
1,1,0,0.507733
1,1,1,0.411171
1,2,1,0.358699
1,2,1,0.452084
1,1,1,0.338708
1,2,1,0.416634
1,2,1,0.347495
1,2,1,0.400817
1,1,1,0.32366
1,1,1,0.291333
1,1,1,0.354749
1,2,1,0.28653
1,1,1,0.190792
1,2,1,0.386827
1,2,1,0.374897
1,2,1,0.35814
1,1,1,0.339548
1,2,1,0.361667
1,2,1,0.391074
1,2,1,0.379177
1,2,1,0.383828
1,2,1,0.439498
1,2,1,0.325283
1,1,1,0.348078
1,2,1,0.433561
1,2,1,0.336447
1,1,1,0.349734
1,1,1,0.276332
1,1,1,0.388481
