PPT,Condition,RT,Correct
1,1,0.601657182,1
1,1,0.451429318,1
1,1,0.418097066,1
1,1,0.401312413,1
1,2,0.434748879,1
1,2,0.468159853,1
1,1,0.468054933,1
1,1,0.434717557,1
1,2,0.468138368,1
1,2,0.401420386,0
1,1,0.501502385,1
1,2,0.48480167,1
1,2,0.4012714,1
1,2,0.401348827,1
1,1,0.368009617,1
1,1,0.384618948,1
1,2,0.434765664,1
1,2,0.434797407,1
1,2,0.451471055,1
1,1,0.634901288,1
1,1,0.551524988,1
1,1,0.434764515,1
1,2,0.401427847,1
1,2,0.451482596,1
1,2,0.451454197,1
1,1,0.418096732,1
1,1,0.434786276,1
1,2,0.518179269,1
1,2,0.534772773,1
1,1,0.384663452,1
1,1,0.518139295,1
1,1,0.384388357,1
1,2,0.434728884,1
1,1,0.434762418,1
1,2,0.484856766,1
1,1,0.384756154,1
1,2,0.368044894,1
1,2,0.484834213,1
1,1,0.401446324,1
1,1,0.401292396,1
1,2,0.368058521,1
1,2,0.418076029,1
1,1,0.434829022,1
1,2,0.501486927,1
1,2,0.468111695,1
1,1,0.384623084,1
1,1,0.384755575,1
1,2,0.434844952,1
1,2,0.518190457,1
1,1,0.451403485,1
1,2,0.418035784,1
1,1,0.484764278,1
1,1,0.468151146,1
1,1,0.451504961,1
1,2,0.518219917,1
1,1,1.068847949,1
1,1,0.351293628,1
1,2,0.384773254,1
1,1,0.468133776,0
1,1,0.451471951,1
1,1,0.434748685,1
1,1,0.35137073,1
1,1,0.334648459,1
1,2,0.518082765,1
1,2,0.401349963,1
1,2,0.434807642,1
1,1,0.401045074,1
1,2,0.468137258,1
1,1,0.484807741,1
1,2,0.418069247,1
1,2,0.451382255,1
1,2,0.451469793,0
1,1,0.501418948,1
1,2,0.401411123,1
1,2,0.484587289,1
1,1,0.334656902,1
1,1,0.451334259,1
1,2,0.451463351,1
1,2,0.401453763,1
1,2,0.785052375,1
1,2,0.401439349,1
1,2,0.618376038,1
1,2,0.367933358,1
1,1,0.384714349,1
1,2,0.401421201,1
1,1,0.501371597,1
1,2,0.317981919,1
1,2,0.434750471,1
1,1,0.468100028,1
1,2,0.418056492,1
1,2,0.434819131,1
1,2,0.384742958,1
1,2,0.367991213,1
1,2,0.384768595,1
1,1,0.317990245,1
1,1,0.318032131,1
1,1,0.351305045,1
1,1,0.31789507,1
1,1,0.401367605,1
1,1,0.301296206,1
1,1,0.267978084,1
1,1,0.401356646,1
1,2,0.368006549,0
1,1,0.351274347,1
1,2,0.384751287,0
1,2,0.468077558,1
1,1,0.451516379,1
1,1,0.368040418,1
1,2,0.418106649,1
1,1,0.334637983,1
1,1,0.334647211,1
1,1,0.518266228,1
1,2,0.468122295,1
1,2,0.384570576,1
1,1,0.434750121,1
1,2,0.368047647,0
1,1,0.401424616,1
1,1,0.451490414,1
1,1,0.45146405,1
1,2,0.484859353,1
1,1,0.468194676,1
1,2,0.384746462,1
1,2,0.55168469,1
1,2,0.534903023,1
1,2,0.518168546,1
1,1,0.50157323,1
1,1,0.401415633,1
1,1,0.418086229,1
1,2,0.501472517,1
1,2,0.45148507,1
1,2,0.40144571,1
1,1,0.468158893,1
1,2,0.45144885,1
1,2,0.45142062,1
1,2,0.468197198,1
1,1,0.334551958,1
1,1,0.267954873,1
1,2,0.418029523,1
1,2,0.401348279,1
1,1,0.651713641,1
1,1,0.401401832,1
1,1,0.334652004,1
1,1,0.401410726,1
1,2,0.468166805,1
1,1,0.368040573,1
1,2,0.468089261,1
1,2,0.418075922,1
1,1,0.384726935,1
1,2,0.384598544,1
1,2,0.434824321,1
1,2,0.434795205,1
1,2,0.66822789,1
1,2,0.384672136,1
1,1,0.401377954,1
1,1,0.384713773,1
1,1,0.4014142,1
1,2,0.401410617,1
1,1,0.401436609,1
1,1,0.401463544,1
1,1,0.401264192,1
1,1,0.351347445,1
1,2,0.401409167,1
1,2,0.367973121,1
1,1,0.368067561,1
1,1,0.401355069,1
1,2,0.401408188,1
1,1,0.384656278,1
1,1,0.3680168,1
1,1,0.334680585,1
1,2,0.40141204,1
1,2,0.468104799,1
1,1,0.367995087,1
1,1,0.367908581,1
1,2,0.351326296,0
1,1,0.501565753,1
1,1,0.384706082,1
1,1,0.401438695,1
1,1,0.418101069,1
1,2,0.651684367,1
1,1,0.484817351,1
1,1,0.451502608,1
1,1,0.43482387,1
1,1,0.418142506,1
1,1,0.418081846,1
1,2,0.367914645,1
1,2,0.451516587,1
1,1,0.468217541,1
1,1,0.417969705,1
1,2,0.434747032,1
1,2,0.451397372,1
1,2,0.434829576,1
1,1,0.384616674,1
1,2,0.50154427,1
1,2,0.484868035,1
1,2,0.401382185,1
1,2,0.45135239,1
1,2,0.418055802,1
1,2,0.568308675,0
1,1,0.518194106,1
1,1,0.401445875,1
1,1,0.368025477,1
1,2,0.43479145,1
1,1,0.401360331,1
1,2,0.401365581,1
1,2,0.484852211,1
1,1,0.401432994,1
1,1,0.401470788,1
1,1,0.33465212,1
1,1,0.418106134,1
