PPT,Condition,Correct,RT
101,2,1,0.622055
101,1,1,0.424841
101,2,1,0.434666
101,2,1,0.412711
101,1,1,0.368136
101,1,1,0.300905
101,2,1,0.379109
101,1,1,0.348568
101,1,1,0.388466
101,1,1,0.288619
101,2,1,0.40803
101,2,1,0.398219
101,1,1,0.369687
101,1,1,0.262426
101,2,1,0.415154
101,2,1,0.465453
101,1,1,0.379331
101,2,1,0.476486
101,2,1,0.341325
101,1,1,0.387387
101,1,1,0.351386
101,1,1,0.340892
101,2,1,0.402894
101,1,1,0.316395
101,2,1,0.418796
101,1,1,0.317645
101,1,1,0.393834
101,2,1,0.42983
101,2,1,0.416033
101,1,1,0.378721
101,2,1,0.356032
101,2,1,0.352769
101,2,1,0.311782
101,2,1,0.311161
101,2,1,0.333883
101,2,1,0.275943
101,2,1,0.330976
101,1,0,0.263434
101,1,1,0.360806
101,2,1,0.390204
101,1,1,0.288958
101,1,1,0.264123
101,2,1,0.342144
101,1,1,0.321735
101,2,1,0.354611
101,1,1,0.380423
101,2,1,0.480538
101,2,1,0.420081
101,1,1,0.342913
101,1,1,0.322432
101,1,1,0.393113
101,2,1,0.437283
101,2,1,0.358476
101,1,1,0.403845
101,1,1,0.319303
101,2,0,0.309989
101,1,1,0.317333
101,2,1,0.411433
101,2,1,0.334159
101,1,1,0.36436
101,1,1,0.384117
101,2,1,0.395602
101,1,1,0.239595
101,1,1,0.305676
101,1,1,0.490161
101,1,1,0.31435
101,1,1,0.345771
101,2,1,0.311781
101,1,1,0.387203
101,1,1,0.375333
101,1,1,0.340101
101,1,1,0.335584
101,2,1,0.391769
101,1,1,0.395882
101,1,1,0.39996
101,1,1,0.322364
101,2,1,0.464399
101,1,1,0.349407
101,1,1,0.347462
101,2,1,0.344876
101,1,1,0.294875
101,2,1,0.414336
101,2,1,0.369763
101,2,1,0.429457
101,2,1,0.419849
101,2,1,0.38007
101,2,1,0.416745
101,2,1,0.364231
101,2,1,0.43257
101,1,1,0.339379
101,1,1,0.360885
101,2,1,0.390211
101,2,1,0.423775
101,1,1,0.385924
101,1,1,0.34009
101,2,1,0.480517
101,2,1,0.417274
101,1,1,0.359441
101,1,1,0.310938
101,2,1,0.371826
101,1,1,0.357346
101,2,0,0.401117
101,2,1,0.363827
101,1,1,0.360576
101,2,1,0.421984
101,2,1,0.43281
101,1,1,0.346847
101,2,1,0.371115
101,1,1,0.415924
101,2,1,0.363179
101,1,1,0.368539
101,2,1,0.440818
101,1,1,0.39483
101,1,1,0.398365
101,1,1,0.428812
101,2,1,0.371963
101,1,1,0.392793
101,2,1,0.372937
101,2,1,0.465605
101,2,1,0.363142
101,2,1,0.616543
101,2,1,0.372184
101,2,1,0.432037
101,2,1,0.378823
101,1,1,0.407469
101,2,1,0.370248
101,2,1,0.476471
101,1,1,0.420526
101,1,1,0.375383
101,2,1,0.422558
101,2,1,0.52941
101,2,1,0.411549
101,1,1,0.398966
101,1,1,0.332557
101,1,1,0.344085
101,1,1,0.35017
101,1,1,0.412249
101,1,1,0.399648
101,2,0,0.387086
101,1,1,0.364982
101,2,1,0.44177
101,1,1,0.363872
101,1,1,0.37652
101,1,1,0.368821
101,1,1,0.405527
101,2,1,0.408372
101,1,1,0.42019
101,1,1,0.358913
101,2,1,0.475718
101,1,1,0.351972
101,1,1,0.381348
101,2,1,0.398303
101,1,1,0.353426
101,2,1,0.377513
101,1,1,0.330471
101,2,1,0.425245
101,2,1,0.451342
101,2,1,0.332849
101,1,0,0.273933
101,2,1,0.426657
101,2,1,0.324932
101,1,1,0.307647
101,1,1,0.386431
101,1,1,0.318354
101,1,1,0.314761
101,1,1,0.349663
101,1,0,0.507733
101,1,1,0.411171
101,2,1,0.358699
101,2,1,0.452084
101,1,1,0.338708
101,2,1,0.416634
101,2,1,0.347495
101,2,1,0.400817
101,1,1,0.32366
101,1,1,0.291333
101,1,1,0.354749
101,2,1,0.28653
101,1,1,0.190792
101,2,1,0.386827
101,2,1,0.374897
101,2,1,0.35814
101,1,1,0.339548
101,2,1,0.361667
101,2,1,0.391074
101,2,1,0.379177
101,2,1,0.383828
101,2,1,0.439498
101,2,1,0.325283
101,1,1,0.348078
101,2,1,0.433561
101,2,1,0.336447
101,1,1,0.349734
101,1,1,0.276332
101,1,1,0.388481
101,1,1,0.288547
101,1,1,0.359976
101,2,0,0.290043
101,1,1,0.369444
101,2,1,0.379017
101,2,1,0.390772
101,1,1,0.370109
101,1,1,0.359001
101,1,1,0.314397
101,1,1,0.337902
101,2,1,0.455893
101,2,1,0.329452
101,1,1,0.365122
101,2,1,0.33853
101,1,1,0.328755
101,2,1,0.356821
101,1,1,0.386175
102,2,1,1.631037
102,1,1,0.737554
102,2,1,0.583184
102,2,1,0.555989
102,1,1,0.60077
102,1,1,0.508341
102,2,1,1.338289
102,1,1,0.782222
102,1,1,0.580114
102,1,1,0.816967
102,2,1,0.563213
102,2,1,0.661848
102,1,1,0.454666
102,1,1,0.672182
102,2,1,0.704355
102,2,1,0.583963
102,1,1,0.567031
102,2,1,0.724695
102,2,1,0.50756
102,1,1,0.419024
102,1,1,0.461803
102,1,1,0.543266
102,2,1,0.757446
102,1,1,0.541476
102,2,1,0.467649
102,1,1,0.492432
102,1,1,0.44802
102,2,1,0.530215
